ID,year,site_nr,buffer_distance,proportion_arable,proportion_pasture,proportion_forest,proportion_urban,proportion_water,proportion_wetland,proportion_SOSR,proportion_WOSR,distance_to_SOSR_previous_year_m,distance_to_WOSR_study_year,edge_density,crop_shannon_previous_year,field_size_ha,sowing_date,distance_center_to_closest_field_edge,plot_length,plot_width,plot_area,mean_dmg_proportion,dmg_day,pitfall_trap_days,fleabeetles_total,Phyllotreta_sp,Phyllotreta_atra,Phyllotreta_nigripes,Phyllotreta_striolata,Phyllotreta_undulata,Phyllotreta_vittula,Phyllotreta_armoricae,Phyllotreta_nemorum,Phyllotreta_ochripes,Chaetocnema_sp,Aphthona_coerulea.cyanella,Aphthona_euphorbiae,Aphthona_lutescens,Longitarsus_sp.,Mantura_rustica,Lythraria_salicariae,Sphaeroderma_testaceum,Bathophila_sp.,Haltica_sp.,Hippuriphila_sp.,Psylliodes_chrysocephala,Psylliodes_sp.
2016_0,2016,0,2000,59.15550792,7.71105737,30.97712386,2.150979161,0,0,1.005063529,0,103,2542.385436,175646.37,1.819548961,7.37,123,32,56,24,1344,0.1088,149,108,381,224,38,6,25,72,83,0,0,0,78,0,62,0,16,0,1,0,0,0,0,0,0
2016_1,2016,1,2000,72.73301677,7.910001058,11.68913537,7.66251511,0,0,0,0.513541795,3937,1777.108369,158975.05,1.684437044,11.4,125,66,56,24,1344,0.0869,155,94,447,280,65,14,25,116,60,0,0,0,104,0,61,0,2,0,0,0,0,0,0,0,0
2016_2,2016,2,2000,70.14595305,5.984226153,21.67770008,2.18599325,0,0,0,0,4796,3365.734604,153281.73,1.793612023,19.53,128,64,56,24,1344,0.0731,152,64,413,123,15,1,4,33,70,0,0,0,6,0,278,0,6,0,0,0,0,0,0,0,0
2016_3,2016,3,2000,33.09149739,12.43636786,47.84595711,4.27649353,0.101063394,28.18,0.861824067,0,344,3114.014872,133119.79,1.922697885,12.11,130,28,56,24,1344,0.1488,157,84,310,253,21,1,22,61,148,0,0,0,24,0,12,0,18,0,3,0,0,0,0,0,0
2016_4,2016,4,2000,68.81541766,3.723430076,23.51355244,2.610141194,1.186500159,1.83,0,0.724931359,426,2050.367015,131026.02,1.674353158,48.42,128,30,48,30,1440,0.0681,154,70,313,76,12,0,11,16,37,0,0,0,11,0,221,1,4,0,0,0,0,0,0,0,0
2016_5,2016,5,2000,46.23133013,5.16855703,35.3260329,1.992619985,5.231423235,75.94,0,4.011113083,2614,1328.133673,149568.54,2.285535367,23.07,130,36,56,24,1344,0.1169,155,76,408,290,48,3,22,72,145,0,0,0,40,0,53,0,23,2,0,0,0,0,0,0,0
2016_6,2016,6,2000,90.6395403,2.061056614,4.113359705,3.179915918,0,0,1.130795878,0.722563472,921,320.7657731,168128.66,1.89631733,6.58,131,102,56,24,1344,0.0469,156,72,291,195,8,0,53,125,9,0,0,0,14,0,52,5,25,0,0,0,0,0,0,0,0
2016_7,2016,7,2000,49.91576724,6.77045161,25.55789779,17.65346715,0,1.19,0.336612712,0,2045,4613.775332,112638.58,1.851007627,17.11,132,74,48,30,1440,0.0819,160,72,65,10,0,0,3,4,3,0,0,0,15,0,32,0,6,0,2,0,0,0,0,0,0
2016_8,2016,8,2000,42.25723101,5.381028889,50.84921103,1.505605835,0,0,0,1.38226076,5294,1393.676143,112219.69,1.722529481,20.56,132,58,56,24,1344,0.0313,160,74,51,11,2,0,3,5,1,0,0,0,11,0,28,0,1,0,0,0,0,0,0,0,0
2017_0,2017,0,2000,44.35091438,5.825866977,26.60672891,23.20956649,0,0,0,0,282,3208.171883,105643.92,2.146857903,12.95,109,12,50,24,1200,0.675,151,110,1934,1404,496,17,71,248,572,0,0,0,405,0,98,4,21,1,0,0,0,1,0,0,0
